date,time,date_from,date_to,canton,source,count,url
,,2020-08-03,2020-08-09,GE,"Au travail",7,https://www.ge.ch/document/19696/telecharger
,,2020-08-03,2020-08-09,GE,"Autre",51,https://www.ge.ch/document/19696/annexe/1
,,2020-08-03,2020-08-09,GE,"Dans la famille ou sous le même toit",34,https://www.ge.ch/document/19696/annexe/1
,,2020-08-03,2020-08-09,GE,"Dans un bar / restaurant",26,https://www.ge.ch/document/19696/annexe/1
,,2020-08-03,2020-08-09,GE,"En discothéque / club",6,https://www.ge.ch/document/19696/annexe/1
,,2020-08-03,2020-08-09,GE,"En tant que personnel médical ou soignant",4,https://www.ge.ch/document/19696/annexe/1
,,2020-08-03,2020-08-09,GE,"Lors d'un rassemblement spontané",7,https://www.ge.ch/document/19696/annexe/1
,,2020-08-03,2020-08-09,GE,"Lors d'une féte ou soirée privée",21,https://www.ge.ch/document/19696/annexe/1
,,2020-08-03,2020-08-09,GE,"Lors d'une manifestation",2,https://www.ge.ch/document/19696/annexe/1
,,2020-08-10,2020-08-16,GE,"Au travail",9,https://www.ge.ch/document/19696/annexe/0
,,2020-08-10,2020-08-16,GE,"Autre",60,https://www.ge.ch/document/19696/annexe/0
,,2020-08-10,2020-08-16,GE,"Dans la famille ou sous le même toit",54,https://www.ge.ch/document/19696/annexe/0
,,2020-08-10,2020-08-16,GE,"Dans un bar / restaurant",22,https://www.ge.ch/document/19696/annexe/0
,,2020-08-10,2020-08-16,GE,"En discothéque / club",3,https://www.ge.ch/document/19696/annexe/0
,,2020-08-10,2020-08-16,GE,"En tant que personnel médical ou soignant",0,https://www.ge.ch/document/19696/annexe/0
,,2020-08-10,2020-08-16,GE,"Lors d'un rassemblement spontané",7,https://www.ge.ch/document/19696/annexe/0
,,2020-08-10,2020-08-16,GE,"Lors d'une fête ou soirée privée",17,https://www.ge.ch/document/19696/telecharger
,,2020-08-10,2020-08-16,GE,"Lors d'une manifestation",0,https://www.ge.ch/document/19696/annexe/0
,,2020-08-17,2020-08-23,GE,"Au travail",22,https://www.ge.ch/document/19696/telecharger
,,2020-08-17,2020-08-23,GE,"Autre",78,https://www.ge.ch/document/19696/telecharger
,,2020-08-17,2020-08-23,GE,"Dans la famille ou sous le même toit",57,https://www.ge.ch/document/19696/telecharger
,,2020-08-17,2020-08-23,GE,"Dans un bar / restaurant",24,https://www.ge.ch/document/19696/telecharger
,,2020-08-17,2020-08-23,GE,"En discothéque / club",1,https://www.ge.ch/document/19696/telecharger
,,2020-08-17,2020-08-23,GE,"En tant que personnel médical ou soignant",3,https://www.ge.ch/document/19696/telecharger
,,2020-08-17,2020-08-23,GE,"Lors d'un rassemblement spontané",7,https://www.ge.ch/document/19696/telecharger
,,2020-08-17,2020-08-23,GE,"Lors d'une fête ou soirée privée",19,https://www.ge.ch/document/19696/telecharger
,,2020-08-17,2020-08-23,GE,"Lors d'une manifestation",4,https://www.ge.ch/document/19696/telecharger
,,2020-08-17,2020-08-23,GE,"Ne sait pas",42,https://www.ge.ch/document/19696/telecharger
,,2020-08-24,2020-08-30,GE,"Au travail",37,https://www.ge.ch/document/19696/telecharger
,,2020-08-24,2020-08-30,GE,"Autre",85,https://www.ge.ch/document/19696/telecharger
,,2020-08-24,2020-08-30,GE,"Dans la famille ou sous le méme toit",41,https://www.ge.ch/document/19696/telecharger
