date,time,date_from,date_to,canton,source,count,url
,,2020-01-04,2020-01-10,SH,"Arbeit",8,https://sh.ch/CMS/get/file/10ee820d-508f-4402-aebe-d23bd5e18d92
,,2020-01-04,2020-01-10,SH,"Ausland",0,https://sh.ch/CMS/get/file/10ee820d-508f-4402-aebe-d23bd5e18d92
,,2020-01-04,2020-01-10,SH,"Familie / Eigener Haushalt",65,https://sh.ch/CMS/get/file/10ee820d-508f-4402-aebe-d23bd5e18d92
,,2020-01-04,2020-01-10,SH,"Private Veranstaltung",8,https://sh.ch/CMS/get/file/10ee820d-508f-4402-aebe-d23bd5e18d92
,,2020-01-04,2020-01-10,SH,"Unbekannt",70,https://sh.ch/CMS/get/file/10ee820d-508f-4402-aebe-d23bd5e18d92
,,2020-01-04,2020-01-10,SH,"Öffentliche Veranstaltung",0,https://sh.ch/CMS/get/file/10ee820d-508f-4402-aebe-d23bd5e18d92
,,2020-01-11,2020-01-17,SH,"Arbeit",20,https://sh.ch/CMS/get/file/24bb6dc1-e502-4ffc-bafe-6e30011a4b3f
,,2020-01-11,2020-01-17,SH,"Ausland",1,https://sh.ch/CMS/get/file/24bb6dc1-e502-4ffc-bafe-6e30011a4b3f
,,2020-01-11,2020-01-17,SH,"Familie / Eigener Haushalt",70,https://sh.ch/CMS/get/file/24bb6dc1-e502-4ffc-bafe-6e30011a4b3f
,,2020-01-11,2020-01-17,SH,"Private Veranstaltung",8,https://sh.ch/CMS/get/file/24bb6dc1-e502-4ffc-bafe-6e30011a4b3f
,,2020-01-11,2020-01-17,SH,"Unbekannt",37,https://sh.ch/CMS/get/file/24bb6dc1-e502-4ffc-bafe-6e30011a4b3f
,,2020-01-11,2020-01-17,SH,"Öffentliche Veranstaltung",0,https://sh.ch/CMS/get/file/24bb6dc1-e502-4ffc-bafe-6e30011a4b3f
,,2020-08-31,2020-09-06,SH,"Arbeit",1,https://sh.ch/CMS/get/file/51a75f35-21a6-44e8-9582-225f6a1a9afe
,,2020-08-31,2020-09-06,SH,"Ausland",0,https://sh.ch/CMS/get/file/51a75f35-21a6-44e8-9582-225f6a1a9afe
,,2020-08-31,2020-09-06,SH,"Familie",0,https://sh.ch/CMS/get/file/51a75f35-21a6-44e8-9582-225f6a1a9afe
,,2020-08-31,2020-09-06,SH,"Private Veranstaltung",0,https://sh.ch/CMS/get/file/51a75f35-21a6-44e8-9582-225f6a1a9afe
,,2020-08-31,2020-09-06,SH,"Unbekannt",4,https://sh.ch/CMS/get/file/51a75f35-21a6-44e8-9582-225f6a1a9afe
,,2020-08-31,2020-09-06,SH,"Öffentliche Veranstaltung",0,https://sh.ch/CMS/get/file/51a75f35-21a6-44e8-9582-225f6a1a9afe
,,2020-09-07,2020-09-13,SH,"Arbeit",3,https://sh.ch/CMS/get/file/9875a068-b9f1-4a32-b171-06f87fc230a2
,,2020-09-07,2020-09-13,SH,"Ausland",1,https://sh.ch/CMS/get/file/9875a068-b9f1-4a32-b171-06f87fc230a2
,,2020-09-07,2020-09-13,SH,"Familie",1,https://sh.ch/CMS/get/file/9875a068-b9f1-4a32-b171-06f87fc230a2
,,2020-09-07,2020-09-13,SH,"Private Veranstaltung",2,https://sh.ch/CMS/get/file/9875a068-b9f1-4a32-b171-06f87fc230a2
,,2020-09-07,2020-09-13,SH,"Unbekannt",2,https://sh.ch/CMS/get/file/9875a068-b9f1-4a32-b171-06f87fc230a2
,,2020-09-07,2020-09-13,SH,"Öffentliche Veranstaltung",0,https://sh.ch/CMS/get/file/9875a068-b9f1-4a32-b171-06f87fc230a2
,,2020-09-14,2020-09-20,SH,"Arbeit",0,https://sh.ch/CMS/get/file/60c6b896-cfef-4e4f-80bd-8e64280074a8
,,2020-09-14,2020-09-20,SH,"Ausland",1,https://sh.ch/CMS/get/file/60c6b896-cfef-4e4f-80bd-8e64280074a8
,,2020-09-14,2020-09-20,SH,"Familie",0,https://sh.ch/CMS/get/file/60c6b896-cfef-4e4f-80bd-8e64280074a8
,,2020-09-14,2020-09-20,SH,"Private Veranstaltung",2,https://sh.ch/CMS/get/file/60c6b896-cfef-4e4f-80bd-8e64280074a8
,,2020-09-14,2020-09-20,SH,"Unbekannt",5,https://sh.ch/CMS/get/file/60c6b896-cfef-4e4f-80bd-8e64280074a8
