date,time,date_from,date_to,canton,source,count,url
,,2020-07-16,2020-08-19,SZ,"Arbeit",2,https://www.sz.ch/public/upload/assets/48367/KA_27_20_Antwort_BAG_Zahlen.pdf
,,2020-07-16,2020-08-19,SZ,"Bar/Restaurant",2,https://www.sz.ch/public/upload/assets/48367/KA_27_20_Antwort_BAG_Zahlen.pdf
,,2020-07-16,2020-08-19,SZ,"Demo/Veranstaltung",0,https://www.sz.ch/public/upload/assets/48367/KA_27_20_Antwort_BAG_Zahlen.pdf
,,2020-07-16,2020-08-19,SZ,"Disco/Club",3,https://www.sz.ch/public/upload/assets/48367/KA_27_20_Antwort_BAG_Zahlen.pdf
,,2020-07-16,2020-08-19,SZ,"Fehlend",27,https://www.sz.ch/public/upload/assets/48367/KA_27_20_Antwort_BAG_Zahlen.pdf
,,2020-07-16,2020-08-19,SZ,"Schule/Kindergarten/Krippe",1,https://www.sz.ch/public/upload/assets/48367/KA_27_20_Antwort_BAG_Zahlen.pdf
,,2020-07-16,2020-08-19,SZ,"als Medizinal- oder Pflegepersonal",0,https://www.sz.ch/public/upload/assets/48367/KA_27_20_Antwort_BAG_Zahlen.pdf
,,2020-07-16,2020-08-19,SZ,"anderer",10,https://www.sz.ch/public/upload/assets/48367/KA_27_20_Antwort_BAG_Zahlen.pdf
,,2020-07-16,2020-08-19,SZ,"in der Familie",25,https://www.sz.ch/public/upload/assets/48367/KA_27_20_Antwort_BAG_Zahlen.pdf
,,2020-07-16,2020-08-19,SZ,"privates Fest",4,https://www.sz.ch/public/upload/assets/48367/KA_27_20_Antwort_BAG_Zahlen.pdf
,,2020-07-16,2020-08-19,SZ,"spontane Menschenansammlung",3,https://www.sz.ch/public/upload/assets/48367/KA_27_20_Antwort_BAG_Zahlen.pdf
,,2020-07-16,2020-08-19,SZ,"unbekannt",2,https://www.sz.ch/public/upload/assets/48367/KA_27_20_Antwort_BAG_Zahlen.pdf
